新诗书目


说明

1．本书目收录1920—2016年出版的全国（包括港台地区）新诗作品，共分三部分。第一部分为个人专集，第二部分为合著，第三部分为多人合集。

2．收录的诗集以初版本为主，初版本一时查不到的，则收录再版本。

3．专集按作者姓氏笔画排列，笔画相同的以起笔﹝一﹞﹝丨﹞﹝ノ﹞﹝丶﹞﹝乛﹞为序。合著按第一作者姓氏笔画为序排列。合集以编者、出版单位名称笔画为序排列。同一诗人专集以出版日期先后为序。





专集

外文

河边恋歌 A·M 上海诗创造社1931年版

四画

海洋与爱情 中申 吉林人民出版社1982年版

松花江短笛 中流 上海文艺出版社1958年版

鹿哨 中流 黑龙江人民出版社1983年版

枫叶 中流 中国文联出版公司1986年版

歌唱田森村 丹米 南方通俗出版社1955年版

少女春泉 之华 新亚书店1969年版

向阳的眼睛 云从 台湾海洋诗社1969年版

摘星集 井岩盾 作家出版社1958年版

爱的旋律 亢进 广西人民出版社1986年版

英雄的画像 元辉 人民文学出版社1978年版

鸟枪的故事 公木 东北书店1947年版

哈喽胡子 公木 五十年代出版社1951年版

十里盐湾 公木 人民文学出版社1953年版

中华人民共和国颂歌 公木 作家出版社1954年版

崩溃 公木 新文艺出版社1957年版

黄花集 公木 作家出版社1957年版

我爱——公木自选诗集 公木 时代文艺出版社1990年版

人类万岁 公木 解放军文艺出版社1999年版

边地短歌 公刘 中南人民文艺出版社1954年版

黎明的城 公刘 中国青年出版社1956年版

望夫云 公刘 中国青年出版社1957年版

在北方 公刘 作家出版社1957年版

白花·红花 公刘 上海文艺出版社1979年版

离离原上草 公刘 人民文学出版社1980年版

骆驼 公刘 上海文艺出版社1984年版

相思海 公刘 花城出版社1987年版

梦蝶 公刘 湖南文艺出版社1991年版

上元月 公孙嬿 北平辅仁义苑社1941年版

大兵谣 公孙嬿 台湾中央文物供应社1954年版

长虹 化石 作家出版社1957年版

三秋草 卞之琳 上海新月社1933年版

鱼目集 卞之琳 上海文化生活出版社1935年版

芦叶船 卞之琳 北京立达1936年版

慰劳信集 卞之琳 香港明月社1940年版

十年诗草 卞之琳 桂林明月社1942年版

翻一个浪头 卞之琳 上海平明出版社1951年版

雕虫纪历 卞之琳 人民文学出版社1979年版

中国现代作家选集·卞之琳 卞之琳 三联书店（香港）有限公司1990年版

中国新诗库·卞之琳卷 卞之琳 长江文艺出版社1991年版

中国现代作家选集·卞之琳 卞之琳 人民文学出版社1995年版

海滨组曲 天河 台湾现代潮出版社1970年版

预言 天蓝 泥土社1942年版

中华人民共和国像太阳般升起 天蓝 新文艺出版社1953年版

队长骑马去了 天蓝 新文艺出版社1954年版

山水清音 孔孚 重庆人民出版社1984年版

孔孚山水诗选 孔孚 明天出版社1991年版

孔孚集 孔孚 中国社会科学出版社1996年版

一束芙蓉花 孔林 山东人民出版社1959年版

百灵 孔林 山东人民出版社1983年版

枯燥 少斐 上海文化生活出版社1936年版

飞龙杖 尹一之 吉林人民出版社1960年版

生命的礼花 巴·布林贝赫 作家出版社1962年版

星群 巴·布林贝赫 内蒙古人民出版社1977年版

龙宫的婚礼 巴·布林贝赫 内蒙古人民出版社1981年版

命运之鸟 巴·布林贝赫 江苏人民出版社1983年版

美的草原 巴·敖斯尔 内蒙古人民出版社1959年版

草原 巴·敖斯尔 内蒙古人民出版社1979年版

南行集 巴牧 新文艺出版社1958年版

笛声 巴牧 春风文艺出版社1959年版

北行集 巴牧 春风文艺出版社1962年版

鲜奶与花朵 巴彦布 黑龙江人民出版社1980年版

爱的倾吐 巴彦布 黑龙江人民出版社1983年版

巴彦布诗歌近作选——巴彦布诗文集（上） 巴彦布 哈尔滨出版社1995年版

春风啊，带去我的问候吧 忆明珠 江苏人民出版社1979年版

沉吟集 忆明珠 四川文艺出版社1986年版

格拉茨姆 戈阿干 云南民族出版社1980年版

查热丽恩 戈阿干 北京民族出版社1983年版

戈麦诗全编 戈麦 上海三联书店1999年版

烈火集 戈枫 广东人民出版社1960年版

将军的马 戈茅 新文艺出版社1956年版

浅草 戈非 内蒙古人民出版社1982年版

田野的歌 戈振缨 上海新文艺出版社1956年版

歌唱红旗 戈振缨 山东人民出版社1959年版

延河照样流 戈壁舟 中国青年出版社1956年版

岩上青松 戈壁舟 东风文艺出版社1958年版

青松翠竹 戈壁舟 作家出版社1958年版

我迎着阳光 戈壁舟 人民文学出版社1959年版

登临集 戈壁舟 作家出版社1963年版

延安诗抄 戈壁舟 陕西人民出版社1978年版

三弦响铮铮 戈壁舟 陕西人民出版社1979年版

春天的爱情 文武斌 山西人民出版社1981年版

春天从远方归来 文武斌 山西人民出版社1983年版

绿色的边境 文牧 新蕾出版社1981年版

红色的弹道 文哲安 湖南人民出版社1979年版

文晓村诗选 文晓村 团结出版社1995年版

九卷一百首 文晓村 台湾诗艺文出版社1996年版

