附录二　译名对照表

波尔罗美岛　Borromées

波里利安人　Boriliens

波利比乌斯　Polybe

波利克赛努　Polixène

底格里斯河　Tigre

青春神　Jeunesse

若望　Jean

拉辛　Racine

拉吉人　Laziens

拉封登　La Fontaine

拉温那　Ravenne

拉斐尔　Raphaël

拉丁努司・西尔维乌斯　Latinus Sylvius

拉栖代孟　Lacédémone

拉栖代孟人　Lacédémoniens

拉姆普里狄乌斯　Lampridius

披萨　Pise

披洛斯托尔戈　Philostorgue

奇列涅　Cyrène

奇姆美利亚　Cimmérien

奇诺赛法里　Cynocéphales

居鲁士　Cyrus

欧普斯　Ops

欧洛修司　Oroze

欧迪那托司　Odenat

欧斯洛伊尼安人　Osroéniens

味吉尔　Virgile

图拉真　Trajan

图司库路姆　Tusculum

帖撒利亚　Thessalie

帖撒利亚人　Thessaliens

帕拉司　Pallas

帕尔米拉　Palmyre

帕希米拉　Pachymère

帕尔提亚人　Parthes

帕列欧洛格，米凯尔　Paléologue，Michel

帕列欧洛格，安多洛尼克　Poléologue，Andronic

罗曼　Romain

罗曼，玉尔　Romain，Jules

罗慕露斯　Romulus

罗德斯人　Rhodiens

迦太基　Carthage

迦太基人　Carthaginois

佩尔赛　Persée

佩尔提纳克司　Pertinax

庞培，塞克司图斯　Pompée Sextus

庞撒　Pansa

九　画

洛玛尼亚　Romagne

美地亚　Medie

美米乌斯　Memmius

美安德尔河　Méandre

美索布达米亚　Mesopotamie

茹利安，狄迪乌司　Julien，Didius

柯乃意　Corneille

柯尔列奇奥　Corrège

柏拉图　Platon

查士丁尼　Justinien

查理大帝　Charlemagne

奎里特人　Quirites

屋大维　Octave

恺撒，盖约・尤里乌斯　César，Gairs Julius

哈里卡尔拿苏斯的狄奥尼西乌斯　Denys d’Halicarnasse

叙利亚　Syrie

威尼斯　Venise

威伊城　Véies

威努西亚　Venouse

科尼库勒　Cornicule

科利奥兰奴斯　Coriolan

十　画

涅尔瓦　Nerva

涅卡尔河　Necker

海拉克留斯　Heraclius

海里欧伽巴尔　Héliogabale

诺曼人　Normands

诺立克人　Noriques

高卢　Gaule

高卢人　Gaulois

高加索　Caucase

库力汗　Koulikan

聂斯托留斯　Nestorius

马其顿　Macédoine

马其顿人　Macédoniens

马利乌斯　Marius

埃克人　Èques

埃瓦格尔　Évagre

埃托利亚　Étolie

埃托利亚人　Étoliens

埃路勒人　Hérules

埃尔尼克人　Herniques

索勒　Sore

热那亚　Génois

荷马　Homère

荷尔米司达斯　Hormisdas

莫迭那　Modène

哥特人　Goths

根赛里克　Gensèric

格拉古，提贝留司　Gracchus，Tibérius

格拉古，盖约　Gracchus，Gaius

格拉古兄弟　Gracches

格拉蒂安　Gratien

格老狄乌斯，阿庇乌斯　Claudius，Appius

桑伽里河　Sangare

陶洛司　Taurus

陶洛美尼亚　Tauroménie

特尔姆　Terme

特列比司　Trébies

特拉西孟　Trasimene

铁新　Tésin

伦巴底人　Lombards

十一画

谢桑纳　Césène

谢雅努司　Séjan

萨比尼人　Sabins

萨地尼亚　Sardaigne

萨拉森人　Sarrasins

康姆尼努，若望　Comnène，Jean

康姆尼努，亚列克赛　Comnène，Alexis

康姆尼努，玛努埃尔　Comnène，Manuel

康姆尼努，安多洛尼克　Comnène，Andronic

盖塔　Géta

盖尔玛尼科司　Germanicus

培尔伽姆　Pergame

菲利普　Philippe

菲利普五世　Philippe V

菲力披柯　Philippicus

莱茵河　Rhin

莱喀古士　Lycurgue

勒诺特　Le Nostre

梯伯河　Tibre

梭伦　Solon

曼利乌司　Manlius

维吉秀　Végèce

维苏威　Vésuve

维纳斯　Vénus

维提撒　Vitisa

维罗涅兹，保罗　Véronèse，Paul

维司巴西安　Vespasien

维蒂利乌斯　Vitellius

维儒里安人　Véruliens

十二画

普利尼　Pline

普卢塔克　Plutarque

普劳提安　Plautien

普里吉亚　Phrygie

普洛布司　Probus

普洛科匹　Procope

布里乌斯・纳西卡　Publius Nasica

普列涅斯特　Préneste

普里司库斯　Priscus

普鲁西亚司　Prusias

博斯波鲁斯　Bosphore

塔西佗，科尔涅留司　Tacite，Cornelius

塔林顿　Tarente

塔林顿人　Tarentins

塔波尔山　Thabor

塔尔奎纽斯　Tarquin

塔纳伊司河　Tanaïs

提吐司　Tite

提埃斯特　Thyeste

贝留司　Tibère

提奥多里　Théodoric

提奥多拉　Théodora

提奥庇洛　Théophile

提格拉涅斯　Tigrane

奥多西乌斯　Théodose

斯巴达　Sparte

斯多噶派　Stoïque

奇比奥・埃米里亚努斯　Scipion Émilien

黑海　Pont-Eusin

喀尔文　Calvin

腓尼基　Phénicie

十三画

塞内加　Sénèque

塞琉古　Séleucus

塞浦路斯　Chypre

塞维洛司　Sévère

塞尔维乌斯・图留斯　Servius Tullius

蒙丹　Montan

路易十三　Louis XIII

路易十四　Louis XIV

路易十五　Louis XV

路库鲁司　Lucullus

路克列奇娅　Lucrèce

奥托　Othon

奥路斯・盖留斯　Aulu-Gelle

奥古斯丁　Augustin

奥古斯都　Auguste

奥尔良家　Orléans

奥列里安　Aurélien

奥多亚克　Odoacer

詹姆士二世　James II

十四画

赛尔托留斯　Sertorius

十五画

潘恩　Pan

潘诺尼亚　Pannonie

撒尔维安　Salvien

撒特里克　Satrique

撒路斯特　Salluste

撒巴提安人　Sabatiens

撒尔玛特人　Sarmates

撒姆尼特人　Samnites

撒玛利亚人　Samaritains

撒姆布拉埃尔　Sambraël

撒图尔尼洛司　Saturnilus

鞑靼人　Tartares

鲁坎　Lucain

鲁比康河　Rubicon

德路西拉　Drusille

德谟克利特　Demokritos

德谟斯提尼斯　Démosthène

十六画

穆罕默德　Mahomet

穆罕默德二世　Mahomet II

十七画

戴求司　Dèce

戴克里先　Dioclétien




